 ,Area,Mean,Min,Max
1,2.146,25635.685,17795,32314
2,2.125,35307.016,23650,56390
3,1.159,26646.859,19588,46715
4,1.289,25422.518,17891,42459
5,1.411,35521.003,18540,62973
6,2.007,33584.874,21669,61845
7,1.092,29727.458,18126,50512
8,1.776,43549.752,27068,84143
9,2.196,27302.725,18305,53402
10,1.369,28527.457,19365,55474
11,1.465,26496.255,15300,48356
12,1.218,23847.210,15936,65008
13,1.386,37563.294,23579,67798
14,1.365,24426.615,16343,49942
15,2.276,27370.304,15281,51107
16,1.608,29433.091,16791,54884
17,1.512,26505.986,16420,79512
18,1.046,24288.261,17347,58437
19,1.633,47451.355,31452,92857
20,1.423,28256.440,19359,48260
21,1.591,23869.931,15628,39574
22,1.394,23957.855,16246,36548
23,1.717,66613.012,39640,141919
24,1.423,39931.702,16344,85531
25,0.941,18594.911,13037,33734
